"tutorial.salon_open",900000000001,"您的脱毛沙龙正式开业了！与门互动开始营业吧！","您的脫毛沙龍正式開業了！與門互動開始營業吧！","Your hair removal salon is now open! Interact with the door to start business!","あなたの脱毛サロンがオープンしました！ドアにインタラクトして営業をスタートさせましょう！"
"tutorial.item_move",900000000002,"将仓库里的物品移动到施术架、前台或收银台才能使用。","將倉庫裡的物品移動到施術架、前台或收銀台才能使用。","Move items from the warehouse to treatment shelves, reception, or register to use them.","倉庫にあるアイテムは施術棚、受付、レジに移動させると使えるようになります。"
"tutorial.reception_item",900000000003,"根据顾客的预算推荐商品吧。可以从库存中拖放物品。","根據顧客的預算推薦商品吧。可以從庫存中拖放物品。","Suggest products based on the customer's budget. You can drop items from stock.","お客様の予算に応じて商品を提案しましょう。ストックからアイテムをドロップできます。"
"tutorial.cashier_item",900000000004,"根据顾客的满意度推荐商品吧。可以从库存中拖放物品。","根據顧客的滿意度推薦商品吧。可以從庫存中拖放物品。","Suggest products based on satisfaction. You can drop items from stock.","お客様の満足度に応じて商品を提案しましょう。ストックからアイテムをドロップできます。"
"tutorial.pain_gauge",900000000005,"疼痛值达到3次MAX，顾客就会离开。使用冷却凝胶来脱毛吧。","疼痛值達到3次MAX，顧客就會離開。使用冷卻凝膠來脫毛吧。","If the pain gauge maxes out 3 times, the customer will leave. Use cooling gel wisely!","痛みゲージが3回MAXになるとお客様が帰ってしまいます。冷却ジェルを使ってうまく脱毛しましょう。"
"tutorial.face_laser",900000000006,"面部激光可以脱除胡须和腋毛。","面部激光可以脫除鬍鬚和腋毛。","The face laser can remove hair from beard and armpit areas.","顔用レーザーはひげ、脇を脱毛できます。"
"tutorial.body_laser",900000000007,"身体激光可以脱除胡须和腋毛以外的所有部位。","身體激光可以脫除鬍鬚和腋毛以外的所有部位。","The body laser can remove hair from all areas except beard and armpits.","体用レーザーはひげ、脇以外のすべての部位を脱毛できます。"
"tutorial.cleaning",900000000008,"顾客的毛发掉在地上了。不打扫的话评价会下降。","顧客的毛髮掉在地上了。不打掃的話評價會下降。","Customer hair is on the floor. You may get bad reviews if you don't clean up!","お客様の毛が床に落ちています。掃除しなければレビューが下がってしまうでしょう。"
"tutorial.day_end",900000000009,"所有顾客的施术结束后，可以从门口离开。","所有顧客的施術結束後，可以從門口離開。","When all treatments are done, you can leave through the door.","すべてのお客様の施術が終わったらドアから帰ることができます。"
"tutorial.store_open",900000000010,"物品商店开业了！从电脑购买物品吧！","物品商店開業了！從電腦購買物品吧！","The item shop is now open! Try buying items from the PC.","アイテムショップがオープンしました！パソコンからアイテムを買ってみましょう。"
"tutorial.item_about",900000000011,"物品可以在前台或收银台向顾客推荐，也可以作为施术辅助工具使用。购买的物品第二天早上送达，也可以加钱即时配送。","物品可以在前台或收銀台向顧客推薦，也可以作為施術輔助工具使用。購買的物品第二天早上送達，也可以加錢即時配送。","Items can be offered to customers or used as support tools. Purchased items arrive the next morning, or pay extra for immediate delivery.","アイテムは受付やレジでお客様に提案したり、施術中のサポートツールとして使用できます。購入したアイテムは翌朝に届きますが、追加料金で即時配達も可能です。"
"tutorial.review_check",900000000012,"顾客写了评价！从电脑确认一下吧。多收集评价提升星级！","顧客寫了評價！從電腦確認一下吧。多收集評價提升星級！","A customer wrote a review! Check it on the PC. Collect reviews to level up your star rating!","お客様がレビューを書いてくれました！PCから確認してみましょう。レビューを集めて星レベルをアップさせましょう！"
"tutorial.bank_open",900000000013,"现在可以从银行贷款了！","現在可以從銀行貸款了！","You can now get loans from the bank!","銀行から融資を受けられるようになりました！"
"tutorial.ad_open",900000000014,"利用广告增加客流量吧！","利用廣告增加客流量吧！","Use advertising to increase customers!","広告を活用して客数を増やしましょう！"
"tutorial.ad_about",900000000015,"投放广告可以提高集客度，增加顾客数量。广告质量越高，来店顾客的等级也越高。","投放廣告可以提高集客度，增加顧客數量。廣告質量越高，來店顧客的等級也越高。","Ads increase customer attraction. Better ads attract higher-ranked customers.","広告を打つと集客度が上がり客数が増えます。良質な広告になればなるほど来店するお客様のランクも高くなります。"
"tutorial.toolshop_open",900000000016,"工具商店开业了！购买新激光器吧！","工具商店開業了！購買新激光器吧！","The tool shop is now open! Buy new lasers!","ツールショップがオープンしました！新しいレーザーを買いましょう！"
"tutorial.toolshop_about",900000000017,"在工具商店可以购买新激光器、装饰品和便利物品。","在工具商店可以購買新激光器、裝飾品和便利物品。","Buy new lasers, decorations, and useful items at the tool shop.","ツールショップでは新しいレーザーや装飾品、便利アイテムを購入できます。"
"tutorial.staff_open",900000000018,"现在可以雇佣员工了！从电脑雇佣员工吧！","現在可以僱傭員工了！從電腦僱傭員工吧！","You can now hire staff! Try hiring employees from the PC!","スタッフを雇用できるようになりました！PCから従業員を雇ってみましょう！"
"tutorial.staff_about",900000000019,"雇佣员工后，他们会代理前台、收银、施术和补货。效率和失败率根据等级变化。","僱傭員工後，他們會代理前台、收銀、施術和補貨。效率和失敗率根據等級變化。","Staff can handle reception, register, treatment, and restocking. Efficiency varies by rank.","スタッフを雇用すると受付、レジ、施術、在庫補充を代行してくれます。ランクに応じて効率や失敗率が変わります。"
"tutorial.payment_about",900000000020,"请及时支付房租和贷款。逾期会产生滞纳金，严重时会被催债。","請及時支付房租和貸款。逾期會產生滯納金，嚴重時會被催債。","Pay rent and loans on time. Late payments incur fees and may lead to debt collection.","家賃、ローンの支払いはこまめにしましょう。支払いが遅れると延滞金が発生したり、取り立てが来ます。"
"tutorial.upgrade_open",900000000021,"现在可以扩大店铺了！从电脑升级吧！","現在可以擴大店鋪了！從電腦升級吧！","You can now expand your shop! Upgrade from the PC.","店舗を拡大できるようになりました！PCからアップグレードできます。"
"tutorial.upgrade_about",900000000022,"扩大店铺后，床位数量增加，最大集客度也会提高。房租也会增加。","擴大店鋪後，床位數量增加，最大集客度也會提高。房租也會增加。","Expanding adds more beds and increases max attraction. Rent increases too.","店舗を拡大するとベッド数が増え、最大集客度も増えます。家賃も高くなりますが稼げます。"
"msg.wait_reception",900000000030,"前台有顾客在等待","前台有顧客在等待","A customer is waiting at reception","受付にお客様が待っています"
"msg.wait_cashier",900000000031,"收银台有顾客在等待","收銀台有顧客在等待","A customer is waiting at the register","レジにお客様が待っています"
"msg.day_end",900000000032,"今天辛苦了。所有顾客的施术结束后可以从门口回家。","今天辛苦了。所有顧客的施術結束後可以從門口回家。","Good work today. You can leave through the door when all treatments are done.","今日もお疲れさまでした。すべてのお客様の施術が終わったらドアから帰れます。"
"msg.good_morning",900000000033,"早上好。开始准备开店吧。","早上好。開始準備開店吧。","Good morning. Let's prepare to open.","おはようございます。開店の準備をしましょう。"
"msg.treatment_fail",900000000034,"顾客无法忍受疼痛离开了！","顧客無法忍受疼痛離開了！","The customer couldn't take the pain and left!","お客様が痛みに耐えられず帰ってしまった！"
"msg.wait_timeout",900000000035,"顾客等不及离开了！","顧客等不及離開了！","The customer got tired of waiting and left!","お客様が待ちきれずに帰ってしまった！"
"msg.wait_warning",900000000036,"顾客等太久开始烦躁了！","顧客等太久開始煩躁了！","The customer is getting frustrated from waiting!","お客様が待たされすぎてイライラしている！"
"msg.upsell_fail",900000000037,"推荐了太贵的商品！","推薦了太貴的商品！","You suggested a product that was too expensive!","高すぎる商品を提案してしまった！"
"msg.staff_fail",900000000038,"员工等级太低无法解决顾客的问题！","員工等級太低無法解決顧客的問題！","The staff's rank was too low to solve the customer's issue!","スタッフのランクが低いためお客様の課題を解決できなかった！"
"msg.star_level_up",900000000039,"星级提升到{0}了！","星級提升到{0}了！","Your star level is now {0}!","星レベルが{0}になりました！"
"msg.staff_limit_up",900000000040,"现在可以雇佣{0}名员工了！","現在可以僱傭{0}名員工了！","You can now hire up to {0} staff!","スタッフを{0}人まで雇えるようになりました！"
